,Bird Species,Count,Location,Time Period
261,Olive-backed sunbird,0,"Asian Koel---Junction of ERC, YNC, Cinnamon",1045
262,Black-naped oriole,0,"Asian Koel---Junction of ERC, YNC, Cinnamon",1045
263,Rock pigeon,0,"Asian Koel---Junction of ERC, YNC, Cinnamon",1045
264,Yellow-vented bulbul,7,"Asian Koel---Junction of ERC, YNC, Cinnamon",1045
265,Javan myna,3,Asian Koel---ERC bike stand,1058
266,Olive-backed sunbird,0,Asian Koel---ERC bike stand,1058
267,Black-naped oriole,0,Asian Koel---ERC bike stand,1058
268,Rock pigeon,0,Asian Koel---ERC bike stand,1058
269,Yellow-vented bulbul,3,Asian Koel---ERC bike stand,1058
270,Javan myna,0,Asian Koel---Slope between UTR and Tembusu,1110
271,Olive-backed sunbird,0,Asian Koel---Slope between UTR and Tembusu,1110
272,Black-naped oriole,0,Asian Koel---Slope between UTR and Tembusu,1110
273,Rock pigeon,0,Asian Koel---Slope between UTR and Tembusu,1110
274,Yellow-vented bulbul,2,Asian Koel---Slope between UTR and Tembusu,1110
275,Javan myna,0,Asian Koel---Utown bus stop,1122
276,Olive-backed sunbird,0,Asian Koel---Utown bus stop,1122
277,Black-naped oriole,0,Asian Koel---Utown bus stop,1122
278,Rock pigeon,0,Asian Koel---Utown bus stop,1122
279,Yellow-vented bulbul,1,Asian Koel---Utown bus stop,1122
280,Javan myna,7,"Asian Koel---King Edward VII Hall, Back of Block A, Near a Hill",0910
281,Olive-backed sunbird,0,"Asian Koel---King Edward VII Hall, Back of Block A, Near a Hill",0910
282,Black-naped oriole,1,"Asian Koel---King Edward VII Hall, Back of Block A, Near a Hill",0910
283,Rock pigeon,0,"Asian Koel---King Edward VII Hall, Back of Block A, Near a Hill",0910
284,Yellow-vented bulbul,1,"Asian Koel---King Edward VII Hall, Back of Block A, Near a Hill",0910
285,Javan myna,1,"Asian Koel---King Edward VII Hall, Block E",0932
286,Olive-backed sunbird,0,"Asian Koel---King Edward VII Hall, Block E",0932
287,Black-naped oriole,0,"Asian Koel---King Edward VII Hall, Block E",0932
288,Rock pigeon,0,"Asian Koel---King Edward VII Hall, Block E",0932
289,Yellow-vented bulbul,0,"Asian Koel---King Edward VII Hall, Block E",0932
290,Javan myna,2,Asian Koel---MD11,0956
291,Olive-backed sunbird,0,Asian Koel---MD11,0956
292,Black-naped oriole,0,Asian Koel---MD11,0956
293,Rock pigeon,0,Asian Koel---MD11,0956
294,Yellow-vented bulbul,0,Asian Koel---MD11,0956
295,Javan myna,1,Asian Koel---MD1,1018
296,Olive-backed sunbird,0,Asian Koel---MD1,1018
297,Black-naped oriole,0,Asian Koel---MD1,1018
298,Rock pigeon,0,Asian Koel---MD1,1018
299,Yellow-vented bulbul,0,Asian Koel---MD1,1018
300,Javan myna,9,Asian Koel---Science Field,1042
301,Olive-backed sunbird,0,Asian Koel---Science Field,1042
302,Black-naped oriole,0,Asian Koel---Science Field,1042
303,Rock pigeon,0,Asian Koel---Science Field,1042
304,Yellow-vented bulbul,0,Asian Koel---Science Field,1042
305,Javan myna,0,Ashy Minivet---University Sports Centre Carpark,0853
306,Olive-backed sunbird,0,Ashy Minivet---University Sports Centre Carpark,0853
307,Black-naped oriole,1,Ashy Minivet---University Sports Centre Carpark,0853
308,Rock pigeon,0,Ashy Minivet---University Sports Centre Carpark,0853
309,Yellow-vented bulbul,0,Ashy Minivet---University Sports Centre Carpark,0853
310,Javan myna,9,Ashy Minivet---Busstop (Opp University Health Centre; ID: 18321),0906
311,Olive-backed sunbird,1,Ashy Minivet---Busstop (Opp University Health Centre; ID: 18321),0906
312,Black-naped oriole,0,Ashy Minivet---Busstop (Opp University Health Centre; ID: 18321),0906
313,Rock pigeon,0,Ashy Minivet---Busstop (Opp University Health Centre; ID: 18321),0906
314,Yellow-vented bulbul,0,Ashy Minivet---Busstop (Opp University Health Centre; ID: 18321),0906
315,Javan myna,1,Ashy Minivet---Grass Patch beside Basketball Courts,0922
316,Olive-backed sunbird,2,Ashy Minivet---Grass Patch beside Basketball Courts,0922
317,Black-naped oriole,0,Ashy Minivet---Grass Patch beside Basketball Courts,0922
318,Rock pigeon,0,Ashy Minivet---Grass Patch beside Basketball Courts,0922
319,Yellow-vented bulbul,1,Ashy Minivet---Grass Patch beside Basketball Courts,0922
320,Javan myna,3,Ashy Minivet---Busstop (Opp University Hall; ID: 18319),0938
321,Olive-backed sunbird,1,Ashy Minivet---Busstop (Opp University Hall; ID: 18319),0938
322,Black-naped oriole,0,Ashy Minivet---Busstop (Opp University Hall; ID: 18319),0938
323,Rock pigeon,0,Ashy Minivet---Busstop (Opp University Hall; ID: 18319),0938
324,Yellow-vented bulbul,0,Ashy Minivet---Busstop (Opp University Hall; ID: 18319),0938
325,Javan myna,0,Ashy Minivet---Beside bend along Science Drive 4,0951
326,Olive-backed sunbird,2,Ashy Minivet---Beside bend along Science Drive 4,0951
327,Black-naped oriole,1,Ashy Minivet---Beside bend along Science Drive 4,0951
328,Rock pigeon,0,Ashy Minivet---Beside bend along Science Drive 4,0951
329,Yellow-vented bulbul,0,Ashy Minivet---Beside bend along Science Drive 4,0951
330,Javan myna,1,Ashy Minivet---Stone benches beside field,1005
331,Olive-backed sunbird,1,Ashy Minivet---Stone benches beside field,1005
332,Black-naped oriole,0,Ashy Minivet---Stone benches beside field,1005
333,Rock pigeon,0,Ashy Minivet---Stone benches beside field,1005
334,Yellow-vented bulbul,0,Ashy Minivet---Stone benches beside field,1005
335,Javan myna,1,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
336,Olive-backed sunbird,2,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
337,Black-naped oriole,0,Ashy Minivet---Grass Patch opposite Kent Ridge MRT Station,1029
